URL,Title,Address,Description,Compensation,Employment_type
https://newyork.craigslist.org/mnh/egr/d/interior-design-project/6246794475.html,Interior Design Project Manager - Retail (NYCINT1860),Flatiron,"Ware Malcomb is hiring an Interior Design Project Manager, Retail in our New York City office!

Project Managers manage the successful completion of multiple Interior Design projects while providing excellent client service and leadership and guidance to project team.

Interior Design Project Manager candidates must have:
•8+ years of experience working on corporate office and commercial interior design projects with a specific emphasis on retail projects.
•Must have a BA/BS in interior design or architecture.
•Certified Interior Designer / NCIDQ certified or licensed architect
•Knowledge of CAD and Revit
•Experience working directly with clients from business development, presentation, negotiation and project completion.

Ware Malcomb is an international design firm offering integrated services to clients throughout the world.  Founded in 1972, Ware Malcomb offers planning, architecture, interior design, civil engineering, branding and sustainable design services to diverse clients.

Ware Malcomb offers the best of both worlds, a small office supportive and nurturing work environment with large company amenities and resources which provides amazing opportunity for internal growth.  Ware Malcomb offers a whole life balance, health-focused company culture, competitive salary and overall benefits package.

**Must be legally authorized to work in the United States**

Submit resume:",Based on experience; provide current or previous salary.,full-time
https://newyork.craigslist.org/fct/egr/d/senior-solutions-analyst/6246986148.html,Senior Solutions Analyst,"Stamford, CT","Senior Solutions Analyst (Nestlé Waters North America, Inc. - Stamford, CT) Support business solution design, sustain and implementation activities. Produce clear functional specifications from custom business requirements in order to develop operational production solutions. Work with stakeholders including business sponsors and GSO partners to gather and validate business requirements. Ensure the Development team delivers correct solutions as per functional specifications. Produce and execute test scripts using Nestlé standard approach to ensure development is fit for production. Support the change management process and coordinate deadlines for the delivery of solutions for production. Utilize Continuous Improvement methodologies to identify opportunities to improve efficiencies within the team and for business partners.  

Requires a Bachelor's degree (or foreign equivalent) in Industrial Engineering, Supply Chain, or a related field and 5 years of experience in the job offered or with business process integration and design. Must have 5 years of experience in the following: stakeholder management in a cross functional environment; SAP Application including APO-Demand Planning and APO-Supply Planning; project management and coordinating full life cycle implementations; coordinating all deployment initiatives within projects and ensuring relevant issues are communicated, addressed and resolved; SAP integration with additional supply chain functions including Purchasing, Customer Service, Materials Handling, Transportation or Quality Assurance; working within an international, multicultural organization; and, analyzing custom business requirements and producing functional specifications. Experience may be gained concurrently.

Mail resumes: Jose Buenrostro at Nestlé USA, Inc. in Glendale, CA at 800 N Brand Blvd, Glendale, CA 91203. Reference Job ID: SSA-YLA.",Salary,full-time
https://newyork.craigslist.org/que/egr/d/experienced-drafter/6245850578.html,EXPERIENCED DRAFTER,5 BOUROUGHS,"LOOKING TO HIRE EXPERIENCED DRAFTER MUST KNOW NYC DOB  CODES AND PLAN REQUIREMENTS ,AND DOB PAPER WORK. CLASS TWO DOB ID IS A PLUS AND WILL BE NEEDED .  EMAIL YOUR RESUME . EXPERIENCE IS A MUST!",BASED ON EXPERIENCE,full-time
https://newyork.craigslist.org/que/egr/d/expeditor-class-1-2/6245854267.html,expeditor class 1-2,queens,"class 1 dob filing rep with fdny filing id  needed.   class 2 dob expeditor needed for expediting company. work hrs 830 to 5pm mon to fri . we work all boroughs ,dob,ecb,landmarks and other agencies for architectural services .send resume to amexpeditingservice123@gmail.com",based on experience,full-time
https://newyork.craigslist.org/brk/egr/d/drafter-designer-autocad/6245938195.html,Drafter - Designer - AutoCAD - Specializing in Windows & Curtainwall,Greenpoint Brooklyn,"We are a small to medium size firm specializing in windows, window-walls and curtainwall systems. We work with architects, owners and general contractors to help them realize their fenestration needs. We are looking to add a key member to our team. Come join us and be a part of a very dynamic and interesting sector of the built environment. 

Position Criteria:

We are looking for a draftsperson who understands building fenestration and envelope systems. General knowledge of aluminum windows, window-wall and curtainwall systems required. Must be proficient in AutoCAD. Other software a plus.  

Daily activities may include:

Estimating and Take-offs
Maintaining and updating Project Files
Producing Shop Drawings
Conducting site visits and attending meetings 
Perform general office practices 

Please email your resume and work samples or portfolio.

Feel free to contact Dmitry with questions.

Our office is located in Greenpoint, Brooklyn
Visit our website: novuswindows.com",Competitive Compensation and Benefits Package,full-time
https://newyork.craigslist.org/mnh/egr/d/architectural-consultant/6238086689.html,Architectural Consultant/Expediter,Downtown,"Building and Zoning Law Consultant is seeking college graduates with Bachelors and/or Masters in Architecture or Engineering and an interest in the Department of Buildings Code Consultation/Expediting for a FULL TIME position.  Candidates with Class 2 DOB IDs will also be considered.  

Applicant must have the ability to communicate the items required for approval with coworkers and/or clients. Must be able to multi-task in order to expedite a large number of projects. Applicant must have strong communication, organizational and computer skills. Microsoft Word, Outlook and Excel experience required. 

Please send resume detailing past experience and include salary requirements.  Experience with NYC Building Code and Zoning Law is preferred but not required.  Please indicate your level of experience in your reply.

We offer a competitive salary based on level of experience along with an extensive benefits package including Metrocards, paid vacation and medical, dental, life and long-term disability insurance.  Only applicants with BA/MA in Architecture or Engineering or Class 2 ID will be considered.

If this ad is up, the job is available, no matter the posted date. 

We are an Equal Opportunity Employer.",Commensurate with experience,full-time
https://newyork.craigslist.org/que/egr/d/architectural-drafter/6247266132.html,Architectural Drafter,,"Rapidly growing New York Based Real Estate Development Company with in-house Design and construction management has an opening for a talented and detail-oriented Architectural Drafter to become an integral part of our awarding-wining architectural team. 

Our company provides complete development, asset and portfolio management services including land acquisition, commercial& residential development, marketing research, value-added strategies, financing, property management and leasing, and other related capabilities. Since the inception, we have built a solid reputation as developer of high quality, environmental friendly ""Green"" projects. 

As the owner, developer and manager of our mega construction projects, we have established the best team in the industry with a culture of caring that treats every one of our employees as a trusted member of our family. Our multidimensional team is comprised of experienced specialist across the real estate industry, including architect, MEP engineer, and construction manager. If you have the desire to make a real difference in your career life, and gain first-hand knowledge in a full-spectrum real estate development company -- you will feel right at our company. 

Candidates must be proficient in CAD and possess relevant experience. Candidate should be able to take direction, work independently, be a team player, gracefully handle changing and evolving directives, and have the ability to complete tasks accurately and efficiently. Communicate with MEP & Structural engineers, review and work on shop drawings.

At our company, we set high expectations for ourselves. We are a team of professionals who bring exacting attention to detail, yet practical, hands-on knowledge and creativity to each project.

The successful candidate will have:

· Bachelor or Master in Architecture or related field preferred.

· Two years of experience in the design of large commercial or Mixed-use project with a comprehensive and working knowledge of NYC building codes and zoning regulations.

· Highly developed skills and talent in Auto CAD.

· Experience of drafting of projects, picking up red lines, permit drawings, and shop drawings is a plus.

· Able to prioritize & concurrently service multiple projects & meet deadlines.

· Strong ability to detail and manage production of multiple complex projects is a must.

· Resolve complex technical and design issues.

· Detail oriented to ensure that drawings match both designs and estimates to eliminate
inaccuracies during production.

·Effective problem solving & interpersonal skills & ability to interface with all clients & employees.

· Ability to communicate professionally with clients, engineers, consultants and contractors.

·Interacts well with other disciplines & clients in a manner that builds productive relationships.

· Team player capable of working with a diverse team environments.

· Fluent in both Chinese and English is a plus

Note: Please enclose your requirement for the salary in your resume or cover letter.","We offer a competitive salary based on experience, a personalized professional career development path and much more.​​",full-time
https://newyork.craigslist.org/brk/egr/d/drafter-wanted/6247310070.html,Drafter Wanted,Gowanus,"Serett is metal shop and designer looking for a full time drafter to do mostly architectural and some sculptural work. On site measuring, problem solving, and communications skills are must, as most of what we do is one off.",Dependent,full-time
https://newyork.craigslist.org/mnh/egr/d/architectural-consultant/6234307882.html,Architectural Consultant,TriBeCa,"Intermediate / Senior Architectural Designer needed to start work immediately.  
A full service design and planning firm has been awarded a government contract for the full scale renovation of municipal office space throughout NYC. 
Qualified Candidates shall have a minimum of 5-7 years of experience with AutoCAD proficiency; capable of surveying, space planning and preparing construction documents.  Must be able to interview and start work this week.  Project duration is approx. 3-6 months, with anticipated extensions.  
Interested candidates should send updated resume and work samples.",Commensurate with experience,contract
https://newyork.craigslist.org/que/egr/d/structural-engineer-wanted/6234348718.html,Structural Engineer Wanted,,"NYC engineering design firm is currently seeking a structural engineer to join our team. 

Required Qualifications

- MS degree in Civil Engineering.
- Proficient skill with AutoCAD or Microstation. Knowledge in both is highly preferred.
- Experience or previous education/training in concrete/steel shop drawings, residential/commercial building structure design, or structural engineering calculation is a plus.
- Experience or previous education/training in eTabs, STAAD, or RAM is a plus.
- Experience or previous education/training for NYC special inspection is a plus.
- Must have excellent verbal and written communication skills, work well with team environments, and be able to work solely with minimal supervision on deadline driven projects.

We provide sponsorship for OPT, H1B. Please clearly indicate the request in your email.",The salary is based on level of experience.,full-time
https://newyork.craigslist.org/que/egr/d/project-architect-full-time/6234349681.html,Project Architect (Full Time),Sheepshead Bay,"PYE Properties, a full service real estate design, development and management firm is seeking a full time in-house Project Architect that is experienced in Commercial and Residential Real Estate (Hospitality space a bonus - e.g. hotel, restaurants, etc.). Potential candidates must have at least ten (10) years of professional architectural experience in NEW YORK. 

The ideal candidate will work on, amongst other projects, a very interesting and special project: a boutique transient hotel and spa within a property that has exterior landmark status (Brooklyn). 

Responsibilities will include, but not limited to:

1) Design development and detailing,
2) Zoning and Project analysis,
3) Producing construction documents, 
4) Project coordination and supervision. 

MUST BE LICENSED. 

Knowledge of New York code is a MUST. 

PLEASE DO NOT APPLY IF YOU ARE NOT QUALIFIED!

This is a full-time position. Please forward your resume and samples of work/portfolio (in .pdf format). 
All Applicants Must Be Qualified for U.S. Employment. 

Equal opportunity employer.

Show me that you are detailed oriented; please reply to this post by inserting ""Design Rocks"" in the subject line.",Commensurate with experience; competitive,full-time
https://newyork.craigslist.org/que/egr/d/cad-operator-drafter/6234942557.html,CAD Operator / Drafter,Long Island City,"Authorized Distributor of Fire Alarm and Life Safety Systems seeks CAD Operator / Drafter to join our established and growing company. Qualified candidates to have:

•	Proficiency in Autodesk/AutoCAD. 
•	Proficiency in Office Software (Word, Excel and Outlook).
•	Proficiency in MS-Windows (File Directory management).
•	Experience in reading and comprehending Electrical and Mechanical Drawings.
•	Strong Communication and Organizational Skills with an ability to work with other team members on multiple projects.
•	Willing and able to assume additional tasks and responsibilities.

Under the direction of a Project Manager, the successful candidate shall be responsible for preparing detailed drawings and data designed to assist in the installation of Fire Alarm Systems within the New York Metro Area.","We offer a Competitive Salary based on experience and performance, paid vacation and holidays.",full-time
https://newyork.craigslist.org/mnh/egr/d/estimator-wanted/6234994471.html,Estimator Wanted,,"Commercial painting contractor seeks an in house Junior Estimator. Willing to train individuals in our software / take off systems and teach candidates estimating. Strong preference to individuals with experience reading plans and blueprints either via schooling, or working in the trades. 

$15 per hour to start increases as candidates become more proficient.",$15 per hour to start increases as candidates become more proficient.,full-time
https://newyork.craigslist.org/mnh/egr/d/production-manager/6234998876.html,PRODUCTION MANAGER,Chelsea,"WHO WE ARE LOOKING FOR

A manufacture of luxury products, is seeking a Production Manager to supervise and control the daily production operations. Candidates should be able to effectively communicate, and have exceptional organizational and problem solving skills. The perfect candidate is an enthusiastic, entrepreneurial and career-minded individual, with a great work ethic and a commitment to teamwork.

ABOUT THE COMPANY
Headquartered in New York City, in-house architects and design professionals provide personal, one-on-one design consultation offering stunning bespoke solutions for any project. Dedicated to incomparable quality and service, every product is handcrafted in New York by local artisans to exceedingly high standards.
Since 2005, our products have been used in some of the finest residential, hospitality, and commercial spaces across the country.
HearthCabinet Ventless Fireplaces continues to expand its presence nationwide.
DUTIES
•	Develop and evaluate processes used to improve performance in Quality, Safety, Inventory Control, and Productivity.
•	Maintain a high level of reliability in production reporting and inventory control.
•	Assist with reduction of product costs through the use of manufacturing techniques, such as Lean Manufacturing
•	Supervise and control of production procedures and manage schedule
•	Razor sharp estimating, negotiating, strong vendor communications and scheduling
•	Sourcing, pricing and ordering of all product components
•	Coordinating of shipping and fulfillment
•	Supervising the work of staff

SKILLS/ QUALIFICATIONS
•	Bachelor's degree
•	Minimum of five- ten years of experience in a manufacturing environment, preferably in a metal fabricating, welding, assemblies and finishing.
•	Sheet metal fabrication and design experience preferred
•	Lean manufacturing and/or continuous Improvement experience desirable.
•	Must have strong mechanical aptitude and detailed oriented.
•	Must have excellent written, oral communications, and administrative skills.
•	Analytical and creative thinker 
•	Must have proven leadership qualities to supervise staff, and problem-solving skills to achieve objectives.
•	Must have proven ability to be a self-starter in a fast-paced environment.
•	Highly proficient Microsoft Office skills (Word, Excel) & General Computer Skills (Windows)
•	Entrepreneurial spirit! 
•	Able to individually lift a minimum of 50 lbs
•	Tiling experience a plus
•	Solidworks a plus
•	Experience coordinating with job shops

Response Requirements:
•	Please reply to the mail above and attach your resume to the email as a PDF (only PDF documents)
•	In the subject of your email please type ""Production Manager"" 
•	Begin your response with one concise paragraph (150 words or less) explaining why your academic and professional experience will support the staff of our product design firm.
•	Salary history
Responses without these will not be considered.",Commensurate with experience,full-time
https://newyork.craigslist.org/brk/egr/d/drafter-with-autocad/6235002995.html,Drafter with AutoCad,,"Plumbing/Sprinkler Company seeking AutoCAD drafter
Must be able to create and change AutoCAD shops and coordination drawings
Extensive AutoCAD knowledge required with MEP 
Engineering back round a plus
Qualified applicants ONLY 
Please send resume to dhreliable2040@gmail.com or Call 718-522-0050",Open will discuss at interview,full-time
https://newyork.craigslist.org/jsy/egr/d/assistant-project-manager-for/6235101855.html,Assistant Project Manager for high end residential GC,NJ/NYC,"We are a boutique, high-end home builder looking for a curious and energetic Assistant Project Manager with a passion for building beautiful homes. The position is based in Summit, NJ, with travel to job sites in New York City. Candidates should have at least four years experience in construction management, preferably residential, and must have excellent communication skills. 

Responsibilities include estimating, scope vetting, contract negotiations, submittal reviews, cost/budget control, scheduling and client/architect management. This is a front office management position with growth potential. We are not hiring tradespeople, field workers or site supervisors at this time. 

Please include a brief letter describing your interest in this position along with your resume. Compensations based on experience.

Thanks.",$60-75K,full-time
https://newyork.craigslist.org/lgi/egr/d/kitchen-cabinet-design-sales/6235142866.html,Kitchen Cabinet Design / Sales,Nassau County,"High end Kitchen cabinet dealer looking for a designer / Sales person.  

We are looking for an individual that is self motivated and has no problem multitasking, as well as being detail oriented. 

*Must have at least 3 years experience w/ Kitchen Design
*Must have experience working with Various type of cabinet manufacturer Semi custom / fully custom
*Looking for someone to take ideas from concept to a completed product
*Must Plan / Design / Order cabinet and provide support to installers 
*Sales experience a must
*Must be able to communicate well with clients / job supers 
*Must have experience in ordering cabinetry

If you meet all of these requirements and are interested in this position Please respond back with your resume and telling us a bit about yourself.",TBD - Based on Experience,full-time
https://newyork.craigslist.org/mnh/egr/d/electrical-engineers-and/6235150675.html,Electrical Engineers and Building Inspectors,Financial District,"International engineering and construction firm based in downtown NYC is currently searching for engineers, architects and building inspectors.  Candidates will be required to inspect public buildings and prepare condition assessments using a tablet with specialized proprietary software.  Additional teams will be required to prepare CAD drawings to document building schematic plans.  All candidates must be local; available to start September 5th and commit to a very long-term assignment.  All should be able to work cooperatively in 4-person inspection teams.  

Electrical Engineers must have at least three years of experience in electrical power distribution, lighting and wiring.  Preference will be given to those applicants with prior experience in building inspections, condition assessments, building maintenance, building surveys or experience in the BCAS methodology.  Must have a BSEE or equivalent.","Paid by the hour, commensurate with experience",contract
